DataSetId,app_name,handle,creator,trackers
22296,"Simply Auto: Car Service, Mileage and Fuel log",mrigapps.andriod.fuelcons,Mobifolio,"48,57,105,312,49"
13717,Yahoo Finance,com.yahoo.mobile.client.android.finance,Yahoo,"25,48,320,312"
98544,IMVU: 3D Avatar! Virtual World & Social Game,com.imvu.mobilecordova,"IMVU, Inc.","26,28,12,25,35,48,53,66,61,65,67,70,105,106,104,72,218,312,49,90,169,379,146"
10220,"6play, TV en direct et replay",fr.m6.m6replay,M6 Web,"27,4,35,3,66,67,70,48,65,7,89,105,106,121,148,199,401,224,155,72,90,312,49,34,165,203,169,107"
171859,"Canva: Graphic Design for Flyers, Logos & Posters",com.canva.editor,Canva,"12,17,27,67,69,70,62,125,167,312"
175303,Deezer Music,deezer.android.app,Deezer Mobile,"17,25,27,35,66,65,67,52,7,89,121,106,199,72,312,49,90,165,34,194,169,107,325"
95605,franceinfo : actualités et info en direct,fr.francetv.apps.info,France Télévisions,"31,27,66,67,69,70,52,123,148,401,224,312,49,11"
41763,francetv : direct et replay,fr.francetv.pluzz,France Télévisions,"27,31,66,67,69,70,48,52,123,153,148,401,224,312,49"
132023,Homescapes,com.playrix.homescapes,Playrix,"26,12,25,27,35,58,53,66,61,65,67,70,121,106,189,192,312,49,169,146"
155829,Gardenscapes,com.playrix.gardenscapes,Playrix,"26,12,25,27,35,58,53,66,61,65,67,70,121,106,189,198,192,72,218,312,49,90,169,146"
112529,happn  Local Dating app,com.ftw_and_co.happn,happn,"17,27,35,48,66,65,67,69,70,52,105,207,404,312,49,382"
186478,HuffPost,com.huffingtonpost.android,Huffington Post,"31,25,35,66,61,65,67,69,70,7,89,121,106,123,199,320,304,72,312,49,90,165,34,169,107"
188428,Viber Messenger,com.viber.voip,Viber Media S.à r.l.,"15,17,27,52,282,328,312,49,118,382"
193478,Mi Fit,com.xiaomi.hm.health,"Anhui Huami Information Technology Co.,Ltd.","67,70,361"
2715,Invoice & Estimate generator - Invoice 2go,com.invoice2go.invoice2goplus,Invoice2go,"27,28,66,67,70,62,52,49"
104054,LOVOO® - your free dating app,net.lovoo.android,LOVOO GmbH,"28,27,35,66,61,65,67,69,70,52,83,121,125,106,104,189,230,258,72,218,312,49,169,107,146,91"
